    0.1000        5.3822       -0.6867
    0.2000        5.3911       -0.6689
    0.3000        5.4186       -0.6520
    0.4000        5.4730       -0.6339
    0.5000        5.5309       -0.6085
    0.6000        5.6061       -0.5696
    0.7000        5.7008       -0.5111
    0.8000        5.8206       -0.4410
    0.9000        5.9514       -0.3330
    1.0000        6.1225       -0.1106
    1.1000        6.3295        0.0729
    1.2000        6.5762        0.3122
    1.3000        6.8671        0.6713
    1.4000        7.2243        1.0861
    1.5000        7.5513        1.6042
    1.6000        7.7855        2.1008
    1.7000        8.0670        2.6340
    1.8000        8.2439        3.1928
    1.9000        8.3659        3.7680
    2.0000        8.4419        4.3007
    2.1000        8.5500        4.9587
    2.2000        8.3156        5.6301
    2.3000        7.8771        6.4145
    2.4000        7.1852        7.0930
    2.5000        6.3423        7.5414
    2.6000        5.5247        7.8412
    2.7000        4.6256        7.9932
    2.8000        3.7702        7.9436
    2.9000        2.9182        7.7578
    3.0000        2.2266        7.4679
    3.1000        1.6216        6.9599
    3.2000        1.2626        6.3824
    3.3000        0.9580        5.8697
    3.4000        0.7368        5.3408
    3.5000        0.6659        4.8623
    3.6000        0.5561        4.4200
    3.7000        0.4590        3.9704
    3.8000        0.3647        3.4510
    3.9000        0.3848        2.9617
    4.0000        0.4099        2.5691
    4.1000        0.5033        2.1884
